"code_line","qtd_exception_events","identification"
33315,3,"METRÔ SANTANA / PEDRA BRANCA"
33316,2,"METRÔ SANTANA - CIRCULAR / CONJ. DOS BANCÁRIOS"
33320,10,"METRÔ SANTANA / JD. ANTÁRTICA"
33325,1,"SHOP. CENTER NORTE / COHAB ANTÁRTICA"
33326,10,"LAPA / METRÔ SANTANA"
33328,15,"HOSP. DAS CLÍNICAS / LAUZANE PAULISTA"
33333,15,"CEASA / METRÔ SANTANA"
33336,5,"PINHEIROS / IMIRIM"
33337,2,"METRÔ SANTANA / HOSP. CACHOEIRINHA"
33339,8,"METRÔ SANTANA / COHAB BRASILÂNDIA"
33342,11,"PÇA. DO CORREIO / JD. PAULISTANO"
33346,7,"TERM. LAPA / JD. DOS CUNHAS"
33348,16,"PÇA. DO CORREIO / TAIPAS"
33354,1,"TERM. PRINC. ISABEL / COHAB TAIPAS"
33356,15,"PÇA. DO CORREIO / PEDRA BRANCA"
33357,1,"METRÔ ANA ROSA / VL. BRASILÂNDIA"
33359,2,"TERM. PRINC. ISABEL / VOITH"
33361,11,"PÇA. DA SÉ / BALN. SÃO FRANCISCO"
33363,1,"PÇA. JOÃO MENDES / JD. MIRIAM"
33365,29,"PÇA. JOÃO MENDES / DIV. DIADEMA"
33370,1,"LGO. CAMBUCI / AMERICANÓPOLIS"
33372,15,"PINHEIROS / VL. CLARA"
33377,11,"PERDIZES / AEROPORTO"
33380,3,"METRÔ SANTANA / VL. PENTEADO"
33382,6,"METRÔ SANTANA / CPTM JARAGUÁ"
33386,6,"METRÔ SANTANA / VL. STA. MARIA"
33387,5,"SHOP. CENTER NORTE / JD. VISTA ALEGRE"
33389,141,"TERM. PINHEIROS / METRÔ TUCURUVI"
33391,38,"METRÔ JABAQUARA / METRÔ SANTANA"
33393,3,"METRÔ SANTANA / JD. CORISCO"
33396,2,"METRÔ TUCURUVI / PQ. EDÚ CHAVES"
33398,48,"CID. UNIVERSITÁRIA / METRÔ SANTANA"
33403,4,"METRÔ TUCURUVI / JD. FILHOS DA TERRA"
33411,4,"METRÔ SANTANA / VL. NOVA GALVÃO"
33412,9,"METRÔ SANTANA / CACHOEIRA"
33417,1,"METRÔ SANTANA / VL. ALBERTINA"
33418,2,"METRÔ SANTANA / VL. MARIETA"
33421,1,"METRÔ SANTANA / JD. FONTÁLIS"
33425,3,"CID. UNIVERSITÁRIA / METRÔ SANTANA"
33426,1,"SHOP. D / JD. PRIMAVERA"
33427,29,"PÇA. DO CORREIO / VL. SABRINA"
33429,20,"TERM. PRINC. ISABEL / PQ. EDÚ CHAVES"
33432,6,"METRÔ BELÉM / SHOP. CENTER NORTE"
33434,5,"METRÔ CARANDIRU / VL. SABRINA"
33439,14,"TERM. AMARAL GURGEL / VL. SABRINA"
33440,10,"METRÔ SANTANA / VL. CONSTANÇA"
33441,15,"MUSEU DO IPIRANGA / VL. SABRINA"
33443,256,"ANA ROSA / METRÔ SANTANA"
33448,4,"METRÔ BARRA FUNDA / JD. FONTÁLIS"
33450,2,"TERM. PRINC. ISABEL / PQ. VL. MARIA"
33452,4,"METRÔ SANTANA / PQ. NOVO MUNDO"
33455,5,"TERM. VL. CARRÃO / JAÇANÃ"
33457,29,"METRÔ VL. MADALENA / PQ. EDÚ CHAVES"
33459,10,"METRÔ TUCURUVI / PQ. NOVO MUNDO"
33460,13,"LIBERDADE / VL. MEDEIROS"
33461,7,"LIBERDADE / PQ. EDÚ CHAVES"
33462,21,"PÇA. DO CORREIO / PQ. EDÚ CHAVES"
33468,4,"PÇA. DO CORREIO / JD. BRASIL"
33470,6,"METRÔ SANTANA / TERM. PENHA"
33472,2,"LUZ / CANGAÍBA"
33473,2,"PQ. D. PEDRO II / PQ. NOVO MUNDO"
33474,2,"PENHA   / METRÔ SANTANA"
33476,20,"PÇA. DO CORREIO / TERM. CACHOEIRINHA"
33477,6,"SHOP. CENTER NORTE / JD. DAMASCENO"
33479,99,"TERM. BANDEIRA / TERM. PQ. D. PEDRO II"
33481,36,"PÇA. DA SÉ / TERM. VL. CARRÃO"
33482,5,"PÇA. DA SÉ / PÇA. SILVIO ROMERO"
33486,30,"TERM. PQ. D. PEDRO II / TERM. SÃO MATEUS"
33488,3,"CIRCULAR / TERM. VL. CARRÃO"
33502,10,"TERM. PQ. D. PEDRO II / SÃO MATEUS"
33506,2,"TERM. PQ. D. PEDRO II / SÃO MATEUS"
33514,4,"TERM. PQ. D. PEDRO II / VL. DALILA"
33515,2,"TERM. PENHA / TERM. SÃO MATEUS"
33516,10,"METRÔ BRESSER / CID. TIRADENTES"
33534,38,"CARDOSO DE ALMEIDA / MACHADO DE ASSIS"
33535,2,"PÇA. DA REPÚBLICA / STA. MARGARIDA MARIA"
33536,9,"PÇA. DA REPÚBLICA / GENTIL DE MOURA"
33538,7,"PAULISTA / PARAISÓPOLIS"
33539,5,"BROOKLIN NOVO / REAL PQ."
33540,3,"HOSP. DAS CLÍNICAS / JD. ROSA MARIA"
33543,7,"PINHEIROS / PQ. ARARIBA"
33544,1,"PINHEIROS / PARAISÓPOLIS"
33548,1,"SHOP. MORUMBI / JD. INGÁ"
33551,2,"STO. AMARO / JD. TABOÃO"
33553,1,"STO. AMARO / JD. JAQUELINE"
33555,1,"CAMPO BELO / PARAISÓPOLIS"
33556,7,"STO. AMARO / PARAISÓPOLIS"
33558,2,"STO. AMARO / REAL PQ."
33560,3,"HOSP. CAMPO LIMPO / JD. REBOUÇAS"
33561,1,"E.T. Água Espraiada / JD. PAULO VI"
33564,3,"HOSP. DAS CLÍNICAS / JD. DAS PALMAS"
33565,7,"LAPA / PQ. CONTINENTAL"
33566,13,"LAPA / PERUS"
33568,2,"LAPA / TERM. JD. BRITANIA"
33569,4,"PERUS / MORRO DOCE"
33571,2,"JD. PRIMAVERA / CPTM VL. AURORA"
33573,23,"TERM. CACHOEIRINHA / PERUS"
33575,12,"CEM. VL. NOVA CACHOEIRINHA / PIRITUBA"
33577,6,"LAPA / CAPELA DA LAGOA "
33578,7,"BOM RETIRO / JD. ELISA MARIA"
33581,1,"METRÔ BARRA FUNDA / JD. VISTA ALEGRE"
33585,2,"METRÔ SANTANA / JD. ALMANARA"
33596,4,"METRÔ BARRA FUNDA / VL. TEREZINHA"
33599,19,"SHOP. CENTER NORTE / CEM. DO HORTO"
33600,5,"METRÔ SANTANA / VL. ROSA"
33601,2,"TERM. PIRITUBA / COHAB BRASILÂNDIA"
33609,28,"LAPA / LAUZANE PAULISTA"
33610,25,"CORREIO / PQ. VL. MARIA"
33611,17,"LAPA / JD. PERY ALTO"
33613,9,"CARANDIRU / JOVA RURAL"
33614,23,"TIETÊ / JOVA RURAL"
33615,5,"SHOP. CENTER NORTE / JD. FONTÁLIS"
33617,9,"METRÔ TUCURUVI / JD. SÃO JOÃO"
33619,7,"METRÔ TUCURUVI / JD. JOANA D'ARC"
33624,11,"TATUAPÉ / JD. BRASIL"
33625,8,"METRÔ TATUAPÉ / JD. TREMEMBÉ"
33626,4,"METRÔ BELÉM / VL. ZILDA"
33627,5,"METRÔ BELÉM / JAÇANÃ"
33628,22,"MOOCA / CEM. PQ. DOS PINHEIROS"
33629,2,"METRÔ TATUAPÉ / PQ. NOVO MUNDO"
33630,2,"METRÔ BELÉM / VL. CONSTANÇA"
33631,12,"CANTAREIRA / JD. GUANCÃ"
33632,7,"METRÔ TUCURUVI / JD. MARINA"
33633,1,"SANTANA / CENTER NORTE"
33635,22,"PINHEIROS / METRÔ BARRA FUNDA"
33636,8,"METRÔ JD. SÃO PAULO / VL. AMÉLIA"
33637,1,"TERM. PARADA INGLESA / JD. HEBRON"
33638,1,"TERM. CACHOEIRINHA / JD. PERY ALTO"
33639,2,"TERM. CACHOEIRINHA / JD. ELISA MARIA"
33640,10,"TERM. CACHOEIRINHA / JD. PRINCESA"
33642,3,"TERM. CACHOEIRINHA / VL. PENTEADO"
33643,4,"TERM. CACHOEIRINHA / PQ. DE TAIPAS"
33645,1,"TERM. CACHOEIRINHA / COHAB BRASILÂNDIA"
33646,3,"TERM. CACHOEIRINHA / CPTM JARAGUÁ"
33648,7,"TERM. CACHOEIRINHA / JD. DAMASCENO"
33651,1,"LAPA / JD. PAULISTANO"
33652,3,"TERM. CASA VERDE / PQ. TIETÊ"
33653,2,"LAPA / VL. TEREZINHA"
33656,6,"METRÔ BARRA FUNDA / JD. TEREZA"
33660,4,"CPTM GUAIANAZES / JD. NSA. SRA. DO CAMINHO"
33661,7,"SÃO MIGUEL / JD. ROMANO"
33663,2,"CPTM ITAIM PAULISTA / CID. KEMEL I"
33664,7,"CPTM ITAIM PAULISTA / CID. KEMEL II"
33665,7,"CPTM ITAIM PAULISTA / JD. NSA. SRA. DO CAMINHO"
33666,4,"CPTM GUAIANAZES / JD. ROBRU"
33667,5,"CACHOEIRINHA / COHAB ANTÁRTICA"
33668,9,"METRÔ BARRA FUNDA / JD. PERY ALTO"
33670,7,"SÃO MIGUEL / JD. DAS OLIVEIRAS"
33672,1,"SÃO MIGUEL / JD. CAMPOS"
33673,5,"SHOP. PENHA / PQ. PAINEIRAS"
33674,4,"CPTM GUAIANAZES / JD. BANDEIRANTES"
33675,93,"ITAIM PAULISTA / VL. CALIFÓRNIA"
33678,1,"CPTM GUAIANAZES / HOSP. ITAIM"
33679,4,"SHOP. PENHA / BURGO PAULISTA"
33682,2,"METRÔ ARTUR ALVIM / VL. AMERICANA"
33683,1,"METRÔ ITAQUERA / JD. ETELVINA"
33684,1,"METRÔ ITAQUERA / JD. ROBRU"
33685,1,"METRÔ ITAQUERA / JD. FANGANIELO"
33686,1,"METRÔ VL. MATILDE / CEM. DA SAUDADE"
33687,2,"METRÔ ITAQUERA / CHABILÂNDIA"
33689,1,"METRÔ ITAQUERA / JD. LAJEADO"
33690,3,"VL. UNIÃO / METRÔ PATRIARCA"
33693,5,"METRÔ PATRIARCA / PONTE RASA"
33694,4,"SHOP. METRÔ ITAQUERA / JD. SÃO NICOLAU"
33695,2,"VL. RUI BARBOSA / METRÔ VL. MATILDE"
33696,3,"METRÔ PATRIARCA / VL. SÍLVIA"
33697,3,"METRÔ PENHA / CHÁC. CRUZ. DO SUL"
33698,2,"CANGAÍBA / METRÔ GUILHERMINA/ESPERANÇA"
33699,2,"METRÔ PENHA / VL. SÍLVIA"
33700,1,"METRÔ VL. MATILDE / ERMELINO MATARAZZO"
33702,1,"METRÔ ITAQUERA / JD. NAZARÉ"
33703,5,"METRÔ GUILHERMINA/ESPERANÇA / JD. VERONIA"
33706,2,"CONJ. ARAUCÁRIA / METRÔ ARTUR ALVIM"
33707,4,"JD. SÃO CARLOS / METRÔ ARTUR ALVIM"
33710,1,"CONJ. A. E. CARVALHO / METRÔ ARTUR ALVIM"
33711,1,"METRÔ PENHA / JD. DO CASTELO"
33713,5,"METRÔ ARTUR ALVIM / VL. JACUI"
33715,1,"VL. REGINA / METRÔ ARTUR ALVIM"
33716,3,"METRÔ ITAQUERA / PQ. GUARANI"
33722,2,"METALÚRGICOS / TERM. CID. TIRADENTES"
33726,29,"SHOP. ARICANDUVA / COHAB JOSÉ BONIFÁCIO "
33729,12,"CPTM GUAIANAZES / JD. WILMA FLOR"
33730,3,"CPTM GUAIANAZES / VL. IOLANDA II"
33731,14,"SHOP. ARICANDUVA / VL. MINERVA"
33734,5,"METRÔ TATUAPÉ / JD. DAS ROSAS"
33735,11,"METRÔ ITAQUERA / JD. ALTO PAULISTANO"
33736,8,"SÃO MATEUS / GUAIANAZES"
33739,8,"METRÔ TATUAPÉ / VL. GUARANI"
33741,8,"METRÔ BELÉM / JD. ITÁPOLIS"
33743,4,"HOSP. SAPOPEMBA / JD. PALANQUE"
33748,4,"CPTM GUAIANAZES / CID. TIRADENTES"
33752,2,"TERM. SÃO MATEUS / JD. RECANTO VERDE SOL"
33761,6,"METRÔ TAMANDUATEÍ / SHOP. ARICANDUVA"
33763,10,"PÇA. JOÃO MENDES / JD. VL. FORMOSA"
33770,8,"PENHA / JD. MARÍLIA"
33771,1,"E.T. ITAQUERA / COHAB PRES. JUSCELINO KUBITSCHECK"
33777,10,"METRÔ ITAQUERA / JD. SÃO JOÃO"
33781,10,"NOVA AMERICA / METRÔ ARTUR ALVIM"
33783,1,"METRÔ BRESSER / UNIV. SÃO JUDAS TADEU"
33784,3,"METRÔ TATUAPÉ / VL. STA. ISABEL"
33787,7,"METRÔ ARTUR ALVIM / SHOP. ARICANDUVA"
33788,15,"METRÔ PENHA / COHAB JOSÉ BONIFÁCIO"
33790,2,"VL. DALILA / METRÔ VL. MATILDE"
33793,2,"PQ. SAVOY CITY / METRÔ ARTUR ALVIM"
33794,8,"METRÔ CARRÃO / SHOP. ARICANDUVA"
33796,6,"METRÔ VL. MATILDE / SHOP. ARICANDUVA"
33797,1,"METRÔ ITAQUERA / CPTM JOSÉ BONIFÁCIO"
33802,6,"METRÔ ARTUR ALVIM / CID. LIDER"
33803,12,"JD. SÃO JOÃO  / METRÔ ARTUR ALVIM"
33804,4,"METRÔ ARTUR ALVIM / JD. NSA. SRA. DO CARMO"
33805,6,"METRÔ GUILHERMINA/ESPERANÇA / SHOP. ARICANDUVA"
33806,2,"METRÔ ITAQUERA / COHAB JUSCELINO"
33812,4,"TATUAPÉ / JD. IMPERADOR"
33815,1,"METRÔ ITAQUERA / COHAB PRESTES MAIA"
33817,1,"METRÔ ITAQUERA / INÁCIO MONTEIRO"
33818,3,"METRÔ ITAQUERA  / BARRO BRANCO"
33819,6,"METRÔ CARRÃO / 3A. DIVISÃO"
33821,4,"METRÔ TATUAPÉ / JD. IVA"
33822,6,"METRÔ TATUAPÉ / TERM. VL. CARRÃO"
33824,1,"CPTM JOSÉ BONIFÁCIO / VL. YOLANDA"
33827,4,"METRÔ CARRÃO / RES. STA. BÁRBARA"
33831,4,"METRÔ ITAQUERA / COHAB BARRO BRANCO"
33835,2,"METRÔ ITAQUERA / CID. TIRADENTES"
33837,3,"METRÔ ARTUR ALVIM / SHOP. ARICANDUVA"
33841,1,"METRÔ ITAQUERA / JD. SÃO CARLOS"
33842,1,"METRÔ ITAQUERA / GLEBA DO PESSEGO"
33846,2,"SHOP. ARICANDUVA / JD. SÃO FRANCISCO"
33847,2,"JD. DA CONQUISTA / HOSP. SÃO MATEUS"
33848,20,"METRÔ BELÉM / VL. INDUSTRIAL"
33852,1,"TERM. PQ. D. PEDRO II / JD. COLORADO"
33859,3,"METRÔ BRESSER / JD. ITÁPOLIS"
33863,21,"METRÔ TATUAPÉ / VL. CALIFÓRNIA"
33865,1,"JD. STO. ANDRÉ / HOSP. SÃO MATEUS"
33866,1,"DIV. DE MAUÁ / HOSP. SÃO MATEUS"
33870,34,"OBJETIVO UNIP / VL. DAS MERCÊS"
33873,5,"TERM. NORTE METRÔ CARRÃO / VL. INDUSTRIAL"
33874,10,"METRÔ STA. CRUZ / SACOMÃ"
33877,4,"METRÔ SAÚDE / VL. MORAES"
33878,2,"METRÔ CARRÃO / JD. VERA CRUZ "
33879,10,"IBIRAPUERA / JD. ELBA"
33882,36,"STO. AMARO / JABAQUARA"
33883,15,"STO. AMARO / ELDORADO"
33884,3,"JABAQUARA / VL. GUACURI"
33885,13,"STO. AMARO / JD. LUSO"
33887,4,"METRÔ JABAQUARA / JD. SÃO JORGE"
33888,7,"JABAQUARA / VL. STA. MARGARIDA"
33890,1,"STO. AMARO / MISSIONÁRIA"
33893,2,"HOSP. SÃO PAULO / JD. MIRIAM"
33895,2,"CPTM JURUBATUBA / VL. GUACURI"
33896,3,"METRÔ CONCEIÇÃO / JD. APURÁ"
33897,10,"E.T. ÁGUA ESPRAIADA / JD. SELMA"
33899,2,"STO. AMARO / JD. APURÁ"
33901,3,"STO. AMARO / JD. SELMA"
33904,8,"SHOP. MORUMBI / METRÔ CONCEIÇÃO"
33905,2,"METRÔ JABAQUARA / REFÚGIO STA. TEREZINHA"
33906,5,"METRÔ CONCEIÇÃO / PQ. PRIMAVERA"
33908,6,"TERM. STO. AMARO / TERM. PARELHEIROS"
