text;label;class_label;address;lat;lng;dateTime
Trânsito será monitorado na Vila Sonia para para realização de Festa Beneficente, sempre das 14h00 às 22h00. Acesse: https://t.co/x4UD7Gk45q;Evento Social;2;;;;07/08/2017 19:00
@Maskara14 Olá, por favor, solicite manutenção semafórica ligando grátis 1188. O serviço funciona 24hs. Agradecemos o contato.;Irrelevante;0;;;;07/08/2017 16:59
@julioce41822881 Olá, por favor, solicite manutenção semafórica ligando grátis 1188. Agradecemos o contato.;Irrelevante;0;;;;07/08/2017 16:38
@rkhzouz Ola! Sua informação foi cadastrada, agradecemos o contato.;Irrelevante;0;;;;07/08/2017 16:34
Carro pode circular em alguns corredores de ônibus da cidade de São Paulo? Depende do local e horário:... https://t.co/h0YD1xq7Y2;Irrelevante;0;;;;07/08/2017 16:00
@BrunaSi79322191 A expectativa é que os contratos sejam firmados nas próximas semanas. Agradecemos o contato.;Irrelevante;0;;;;07/08/2017 15:06
@BrunaSi79322191 Olá, já foi dado prosseguimento à licitação para contratar novas empresas para manutenção de semáforos. (+);Irrelevante;0;;;;07/08/2017 15:05
@marceluscs Olá, para solicitar manutenção de semáforos, por favor, acesse o Portal #SP156: https://t.co/0kVk1pmqWK ou ligue p/ o fone 1188;Irrelevante;0;;;;07/08/2017 14:45
@Chris_P_Silva Olá, para solicitar fiscalização, por favor, ligue gratuitamente para o fone 1188. Agradecemos o contato.;Irrelevante;0;;;;07/08/2017 14:38
@rogeguimaraes  é que os contratos sejam firmados nas próximas semanas. Agradecemos o contato.;Irrelevante;0;;;;07/08/2017 14:33
@rogeguimaraes Olá, já foi dado prosseguimento à licitação para contratar novas empresas para manutenção de semáforos. A expectativa (+);Irrelevante;0;;;;07/08/2017 14:32
@Schumacher76 Olá, para esta solicitação, por favor, acesse: https://t.co/MlJEYqYAJx Obrigado.;Irrelevante;0;;;;07/08/2017 12:18
@janreis Olá, por favor, solicite manutenção semafórica ligando grátis 1188 ou acessando o Portal SP156: https://t.co/0kVk1pmqWK Obrigada;Irrelevante;0;;;;07/08/2017 12:12
@LuizAlvaro Olá, por favor, solicite manutenção de semáforos ligando grátis 1188 ou no Portal #SP156: https://t.co/0kVk1pmqWK Obrigado.;Irrelevante;0;;;;07/08/2017 12:04
@PrasempreParis Olá, p/ solicitar fiscalização, por favor, ligue grátis 1188 ou acesse o portal SP156: https://t.co/0kVk1pmqWK. Obrigada;Irrelevante;0;;;;07/08/2017 12:00
As faixas exclusivas e os corredores de #ônibus são conquistas de todos. #RespeitoAoBemComum #TransporteColetivo https://t.co/cQwRY1hBPY;Irrelevante;0;;;;07/08/2017 12:00
@FABIOTASAN Olá, para solicitar manutenção de semáforos, por favor, ligue para 1188 ou acesse o Portal #SP156: https://t.co/0kVk1pmqWK;Irrelevante;0;;;;07/08/2017 11:57
@jesuxmacaco Olá, para essas solicitações, por favor, acesse o Portal #SP156: https://t.co/0kVk1pmqWK;Irrelevante;0;;;;07/08/2017 11:48
@naarkaum na presença de agente de trânsito. P/ solicitar fiscalização de trânsito ligue 1188, no momento da infração. Agradecemos o contato;Irrelevante;0;;;;07/08/2017 11:15
@naarkaum Olá, a legislação de trânsito apenas autoriza autuar infrações na via pública por equipamento regulamentado pelo CONTRAN e/ou (+);Irrelevante;0;;;;07/08/2017 11:13
Conheça o Curso Direção Defensiva oferecido gratuitamente pela CET. ;Irrelevante;0;;;;
Presencial: https://t.co/0zaRGdCVqS;Irrelevante;0;;;;
"Distância... https://t.co/QmRJIiVkim""";Irrelevante;0;;;;07/08/2017 10:00
@RosaACL  Olá, não há registro de interferência no horário solicitado. Agradecemos o contato.;Irrelevante;0;;;;07/08/2017 01:29
Marginal Tietê será parcialmente interditada, das 23h de segunda às 4h da terça, para serviços de manutenção viária. https://t.co/ORHVeXSAt1;Evento Urbano;3;;;;06/08/2017 23:30
Complexo Viário Maria Maluf será interditado, das  23h30 de segunda às 04h30 de terça, para serviços de manutenção https://t.co/asZV3iNXa6;Evento Urbano;3;;;;06/08/2017 22:00
Mantenha sua inspeção veicular em dia, evite acidentes. https://t.co/g5SKHB3W6a;Irrelevante;0;;;;06/08/2017 19:00
Túnel Papa João Paulo II será interditado, sentido Santana, das 23h30 de segunda às 4h30 de terça, para limpeza https://t.co/RPb59gvT5s;Evento Urbano;3;;;;06/08/2017 16:00
Você sabia que gestantes devem manter a distância entre a barriga e o volante de no mónimo 15 cm?... https://t.co/fyKfC16KXK;Irrelevante;0;;;;06/08/2017 12:00
Respeite a vaga de idoso e de pessoas com deficiência. Não estacione nestas vagas nem por um minuto! https://t.co/Fu1XayDUnw;Irrelevante;0;;;;06/08/2017 10:00
Marg. Tietê sentido Ayrton Senna,  pista central após Pte Jânio Quadros, via liberada. #ZN;Irrelevante;0;Av. Marginal Tietê, São Paulo - SP, Brazil;-235.179.746;-466.493.901;06/08/2017 04:11
Referente interferência pista central da Marg. Tietê, sentido Ayrton Senna, após Pte Jânio Quadros, interdita uma faixa da via. #ZN;Evento Urbano;3;Av. Marginal Tietê, São Paulo - SP, Brazil;-235.179.746;-466.493.901;06/08/2017 02:15
Interferência interdita duas faixas da pista central da Marg. Tietê, sentido Ayrton Senna, após Pte. Jânio Quadros. Evite a região. #ZN;Evento Urbano;3;Av. Marginal Tietê, São Paulo - SP, Brazil;-235.179.746;-466.493.901;06/08/2017 00:13
Túnel Daher Elias Cutait será interditado nos dois sentidos, das 23h30 de domingo às 4h30 de segunda, para limpeza https://t.co/tPqt7sjppD;Evento Urbano;3;;;;05/08/2017 23:30
_ÙÒ±_ÙÒã‰_•ã Siga-nos no Instagram! https://t.co/mdogOzbTpU https://t.co/d1YvISAm9T;Irrelevante;0;;;;05/08/2017 22:00
Trânsito será monitorado na região Central da cidade, para a realização de corrida ‰Ûú22å» Corrida do Centro Histórico... https://t.co/DSgLmiwim7;Evento Social;2;;;;05/08/2017 19:00
@cledson_ Boa noite! Haja vista a necessidade de informações complementares, solicitamos contato através do fone 1188 - ligação gratuita.;Irrelevante;0;;;;05/08/2017 18:57
@rodrigoktk Boa noite! Sua solicitação foi cadastrada. Obrigado pelo contato.;Irrelevante;0;;;;05/08/2017 18:55
@ovaiorracha Boa noite! Sua solicitação foi cadastrada. Agradecemos o contato.;Irrelevante;0;;;;05/08/2017 18:38
@yurizurigo Boa tarde! Haja vista a necessidade de informações complementares, solicitamos contato através do fone 1188 - ligação gratuita.;Irrelevante;0;;;;05/08/2017 16:46
@JonasTrude Boa tarde! Sua solicitação foi cadastrada. A CET agradece o contato.;Irrelevante;0;;;;05/08/2017 16:43
Trânsito será monitorado na região da Luz, no domingo, das 6h às 17h, para exposição de veóculos antigos https://t.co/EXgMXzvyk6;Irrelevante;0;;;;05/08/2017 16:00
Quer saber informações sobre as regras de circulação de veóculos fretados na cidade de São Paulo? Acesse:... https://t.co/iVFNv69vfk;Irrelevante;0;;;;05/08/2017 12:00
@mfemaia Bom dia! sua informação foi registrada, agradecemos o contato.;Irrelevante;0;;;;05/08/2017 11:05
Embarque e desembarque sempre pelo lado da calçada. Você pode perder muito mais do que tempo sem esse simples cuida... https://t.co/Zx7U3Igtih;Irrelevante;0;;;;05/08/2017 10:00
Trânsito será monitorado na Barra funda, sáb e dom, das 07h30 às 21h00, para a Festa Multicultural Boliviana https://t.co/O2nxBENM1L;Evento Social;2;;;;04/08/2017 23:30
_Ù_÷_Ù Aumente seu campo de visão, antes de sair de casa ajuste sempre os espelhos retrovisores. https://t.co/KihfDQ9Ju4;Irrelevante;0;;;;04/08/2017 22:00
@sleepguy888    Boa noite!  Sua solicitação foi cadastrada.  A CET agradece o contato.;Irrelevante;0;;;;04/08/2017 20:59
Referente manifestação em movimento rua Augusta, pista liberada.#ZC;Irrelevante;0;;;;04/08/2017 20:02
Referente Manifestação Av. Paulista, pista liberada, manifestantes agora descendo rua Augusta sentido centro.Evite região #ZC;Evento Social;2;Av. Paulista, São Paulo - SP, Brazil;-235.632.103;-466.542.503;04/08/2017 19:24
Manifestação em movimento interdita o sentido consolação da Av. Paulista junto ao MASP. Evite região #ZC;Evento Social;2;;;;04/08/2017 19:06
Trânsito será monitorado na Barra Funda para realização da ‰ÛúFesta Multicultural Boliviana‰Û, de sábado a domingo. https://t.co/N2YyKQmeMz;Evento Social;2;;;;04/08/2017 19:00
@lupenelopepoeta  Boa noite! Sua solicitação foi cadastrada, agradecemos o contato.;Irrelevante;0;;;;04/08/2017 18:10
Neste sábado o programa Cidade Linda estará na Avenida Ricardo Jafet. Confira: https://t.co/ELo0EO7jQu https://t.co/fGq0duj6yA;Irrelevante;0;Av. Dr. Ricardo Jafet, São Paulo - SP, Brazil;-235.907.315;-466.202.039;04/08/2017 16:57
Avenida Paulista, via liberada em relação a manifestação. #ZC;Irrelevante;0;Av. Paulista, São Paulo - SP, Brazil;-235.632.103;-466.542.503;04/08/2017 16:40
Na chuva, o piso fica mais escorregadio e o espaço necessário para uma frenagem segura aumenta. Não vacile, redobre... https://t.co/VOLDC5tb2L;Irrelevante;0;;;;04/08/2017 16:00
@LarapiosNao Olá, para solicitar manutenção semafórica, por favor, ligue para o fone 1188 ou o acesse Portal #SP156: https://t.co/0kVk1p4Pya;Irrelevante;0;;;;04/08/2017 15:54
@luciano_ozanan Olá, para solicitar fiscalização, por favor, ligue gratuitamente para o fone 1188. Agradecemos o contato.;Irrelevante;0;;;;04/08/2017 14:54
Referente manifestação:  Manifestantes em movimento interdita três faixas do sentido Consolação da Av. Paulista. Evite a região. #ZC;Evento Social;2;;;;04/08/2017 14:52
Referente manifestação, Marg. Pinheiros, via liberada. Manifestantes em movimento interdita sentido Paraóso da Av. Paulista. Evite região.;Evento Social;2;Via Prof. Simão Faiguenboim, São Paulo - SP, Brazil;-236.238.635;-46.709.926;04/08/2017 14:23
Referente a manifestação, Marginal Pinheiros, manifestantes ocupam totalmente o sentido bairro da pte Octávio F. de Oliveira (Estaiada). #ZS;Evento Social;2;;;;04/08/2017 12:22
Você sabia que boa parte da sinalização depredada é reaproveitada pela @CETSP_? Saiba mais em:... https://t.co/HfcdcCFPxJ;Irrelevante;0;;;;04/08/2017 12:00
Manifestação em movimento, Marginal Pinheiros, sentido Interlagos, pista única, após ponte Cidade Universitária. #ZO;Evento Social;2;;;;04/08/2017 11:54
@NardoPeixe Olá, p/ solicitar fiscalização de trânsito, por favor, ligue gratuitamente p/ 1188 no momento da infração. Agradecemos o contato;Irrelevante;0;;;;04/08/2017 10:49
Não seja um Elefante, jamais pare em fila dupla. #PorumTrânsitoMelhor https://t.co/r3hZMPeeGX;Irrelevante;0;;;;04/08/2017 10:00
@edermachado Bom dia, sua solicitação foi registrada, agradecemos o contato.;Irrelevante;0;;;;04/08/2017 09:14
Av Rebouças sentido centro, próximo da R Maria Carolina, via liberada em relação a interferência. #ZO;Irrelevante;0;;;;04/08/2017 07:11
Av Interlagos sentido centro, junto a R Monsenhor de Freitas, via liberada em relação a interferência. #ZS;Irrelevante;0;;;;04/08/2017 07:08
Av dos Bandeirantes sentido Marginal, próximo da R João Carlos Mallet, via liberada em relação a interferência. #ZS;Irrelevante;0;;;;04/08/2017 07:03
Av Rebouças sentido centro, duas faixas interditadas próximo da R Maria Carolina, devido interferência. Evite a região. #ZO;Evento Urbano;3;;;;04/08/2017 06:45
Av Interlagos sentido centro, interditada junto a R Monsenhor de Freitas, devido interferência. Evite a região. #ZS;Evento Urbano;3;;;;04/08/2017 06:19
@_406745341715 Bom dia, sua informação foi cadastrada, agradecemos o contato.;Irrelevante;0;;;;04/08/2017 06:14
Av dos Bandeirantes sentido Marginal, próximo da R João Carlos Mallet, duas faixas interditadas devido interferência. Evite a região. #ZS;Evento Urbano;3;;;;04/08/2017 06:12
Rua Leopoldo Couto Magalhães Junior, via liberada  #ZS;Irrelevante;0;R. Leopoldo Couto de Magalhães Júnior - Itaim Bibi, São Paulo - SP, Brazil;-235.882.562;-466.806.217;04/08/2017 00:06
_Ù___Ù_Ñ O semáforo ficou verde para você? Prossiga! Nunca ultrapasse o vermelho, colabore para um trânsito mais inclusiv... https://t.co/XoqCr38rzy;Irrelevante;0;;;;03/08/2017 23:30
A população sempre auxilia a CET comunicando situações sobre o trânsito e a mobilidade da cidade através da Central... https://t.co/t6QUqxjSqr;Irrelevante;0;;;;03/08/2017 22:00
Túnel Presidente Jânio Quadros será interditado, sentido bairro, das 23h30 de sexta às 4h30 de sábado, para limpeza... https://t.co/1UBT4QhL6g;Evento Urbano;3;;;;03/08/2017 22:00
Referente manifestação em movimento pela Av. Brig. Faria Lima, pista liberada.#ZO;Irrelevante;0;Av. Brigadeiro Luós Antônio, São Paulo - SP, Brazil;-235.694.975;-466.507.747;03/08/2017 20:29
Referente Manifestação em movimento na Marginal Pinheiros, via liberada. #ZO;Irrelevante;0;;;;03/08/2017 19:46
Queda de àrvore interdita rua Leopoldo Couto Magalhães Jr. Evite região #ZS;Desastre Natural;4;R. Leopoldo Couto de Magalhães Júnior - Itaim Bibi, São Paulo - SP, Brazil;-235.882.562;-466.806.217;03/08/2017 19:30
Referente Manifestação em movimento na Marginal Pinheiros, manifestantes sobre Pte. Octavio Frias de Oliveira.Evite região#ZS;Evento Social;2;;;;03/08/2017 19:27
Referente manifestação:  Rua Lóbero Badaró.Via liberada #ZC;Irrelevante;0;R. Lóbero Badaró, São Paulo - SP, Brazil;-235.464.023;-466.362.263;03/08/2017 19:08
Manifestação em passeata interdita Marg. Pinheiros, altura da Ponte Cidade Universitária, sentido Interlagos, pista única. Evite região. #ZO;Evento Social;2;Via Prof. Simão Faiguenboim, São Paulo - SP, Brazil;-236.238.635;-46.709.926;03/08/2017 19:05
Avenida Sapopemba será interditada para obras do Monotrilho, das 23h00 de quinta-feira às 05h00 de sexta-feira https://t.co/idBa5dLubZ;Evento Urbano;3;;;;03/08/2017 19:00
Manifestação em passeata interdita o sentido Itaim da Av. Brig. Faria Lima. Evite a região. #ZO;Evento Social;2;;;;03/08/2017 18:58
Referente manifestação: Lg. Pateo do colégio,via liberada, manifestantes estão interditando a Rua Lóbero Badaró junto ao Vd. do Chá. #ZC;Evento Social;2;;;;03/08/2017 17:49
Manifestação em passeata interdita o sentido único do Largo Pateo do colégio, altura da Praça da Sé. #ZC;Evento Social;2;;;;03/08/2017 17:14
Avenida Mateo Bei, via liberada em relação a manifestação. #ZL;Evento Social;2;Av. Mateo Bei, São Paulo - SP, Brazil;-235.991.605;-464.853.969;03/08/2017 16:52
Trânsito será monitorado no Morumbi para o jogo @SãoPauloFC x @Coritiba, a partir das 17h de quinta-feira (03/08). https://t.co/j632WH7YyS;Evento Social;2;;;;03/08/2017 16:00
Manifestação interdita o sentido centro da Avenida Mateo Bei, altura da Rua Dr. Felice Buscaglia. Evite a região. #ZL;Evento Social;2;;;;03/08/2017 15:34
#TBT Em 1980 foi implantado o projeto Pólos Geradores de Tráfego, feito para minimizar o impacto que empreendimento... https://t.co/XN7WFkVuMB;Irrelevante;0;;;;03/08/2017 15:00
@BiolcatiAle Olá, o prazo para a análise das solicitações é de aproximadamente 45 dias úteis. Mais informações: https://t.co/JEXdkQylEM;Irrelevante;0;;;;03/08/2017 14:54
@ClaudecirPires  Ola! Sua informação foi cadastrada, agradecemos o contato.;Irrelevante;0;;;;03/08/2017 14:07
Conheça o plano operacional Marginal Segura https://t.co/8XcuYwpoey https://t.co/AocEeObnYp;Irrelevante;0;;;;03/08/2017 11:55
@DorivalApolina2 Olá, p/ solicitações sobre semáforo, por favor, acesse o Portal #SP156: https://t.co/0kVk1pmqWK ou ligue para o fone 1188.;Irrelevante;0;;;;03/08/2017 10:22
Você sabe de onde vêm e para onde vão as mercadorias que circulam e abastecem a cidade de São Paulo? Veja mais em:... https://t.co/EGNFWbdZYZ;Irrelevante;0;;;;03/08/2017 10:00
@FIVELA1905 Olá, por favor, solicite fiscalização ligando grátis 1188. O serviço funciona 24hs. Agradecemos o contato.;Irrelevante;0;;;;03/08/2017 09:21
Av Santo Amaro sentido centro, junto a R Casa do Ator, via liberada em relação a interferência. #ZS;Irrelevante;0;;;;03/08/2017 05:34
Interferência ocupa duas faixas da  Av. Santo Amaro, sentido centro, junto a R. Casa do Ator. Evite a região. #ZS;Evento Urbano;3;Av. Santo Amaro, São Paulo - SP, Brazil;-23.617.729;-466.818.226;03/08/2017 03:44
Posto móvel no Shopping Interlagos estende atendimento até domingo (06/08), das 12h às 18h https://t.co/msWp831OPR;Irrelevante;0;;;;02/08/2017 23:30
Dirigir de noite requer atenção redobrada do motorista. Evite acidentes, esteja sempre de olho na via e dirija com... https://t.co/tDcnjWdgTh;Irrelevante;0;;;;02/08/2017 22:00
_ÙÔ_Ù÷Ä_Ù_Î_ÙÕ¬ O respeito ao espaço na via destinado ao transporte coletivo é o respeito ao bem comum. https://t.co/hvAzHAoBrX;Irrelevante;0;;;;02/08/2017 19:00
@drrtmd ...Se mesmo assim não for atendido formalize sua reclamação junto à Ouvidoria neste link: https://t.co/XcjEuyiqML Obrigado.;Irrelevante;0;;;;02/08/2017 16:34
@drrtmd Olá, por favor, use o protocolo de sua solicitação p/ saber o andamento do processo junto ao canal utilizado. (+);Irrelevante;0;;;;02/08/2017 16:31
@Emersongborges ...utilizado. Se mesmo assim não for atendido formalize sua reclamação junto à Ouvidoria: https://t.co/XcjEuyiqML Obrigado.;Irrelevante;0;;;;02/08/2017 16:14
@Emersongborges Olá, Como já fez sua solicitação orientamos que use o protocolo p/ saber o andamento do processo junto ao canal (+);Irrelevante;0;;;;02/08/2017 16:11
@adilsonjr11 Olá, por favor, solicite manutenção semafórica ligando grátis 1188. O serviço funciona 24hs. Agradecemos o contato.;Irrelevante;0;;;;02/08/2017 16:05
Não pense que o banco de trás tem menos importância, a segurança de quem você mais ama é primordial.... https://t.co/hJOlnQ1W3P;Irrelevante;0;;;;02/08/2017 16:00
@augustovrg Olá, por favor, solicite manutenção de sinalização ligando grátis 1188, o serviço funciona 24hs. Obrigado.;Irrelevante;0;;;;02/08/2017 15:57
@julioce41822881 Ola! Sua solicitação foi cadastrada, agradecemos o contato.;Irrelevante;0;;;;02/08/2017 14:41
Devemos lembrar todos os dias. _Ù÷ä_Ù÷Û #VoltaàsAulas https://t.co/BZK7CMINwT;Irrelevante;0;;;;02/08/2017 12:00
Marginal Pinheiros sentido Castelo Branco, pista local liberada junto praça Silveira Santos, em relação a interferência. #ZO;Irrelevante;0;;;;02/08/2017 11:27
_ÙÕª_ÙÕª_ÙÕªåÊ#OMundoPrecisaDe respeito mútuo no trânsito https://t.co/vKOgrctYjQ;Irrelevante;0;;;;02/08/2017 11:06
@franklinrodri79 Olá, enviamos sua solicitação para averiguação. Agradecemos o contato.;Irrelevante;0;;;;02/08/2017 10:54
Interferência na Marginal Pinheiros, sentido Castelo Branco, pista local, junto praça Silveira Santos. #ZO;Evento Urbano;3;;;;02/08/2017 10:40
Confira os premiados do 9å¼ Prêmio CET de Educação;Irrelevante;0;;;;
"de Trânsito no site da CET https://t.co/e7vI5bywqz https://t.co/PSmqegB4Ai""";Irrelevante;0;;;;02/08/2017 10:39
Conheça as Notas Técnicas, resultado de pesquisas e projetos realizados pelo corpo técnico da CET. Saiba mais em: https://t.co/Ra1VLBICGd;Irrelevante;0;;;;02/08/2017 10:00
@mfemaia Bom dia! Sua informação foi cadastrada. Agradecemos o contato.;Irrelevante;0;;;;02/08/2017 08:30
Quer saber como funciona o Rodózio? Acesse e informe-se aqui: https://t.co/ranEUYx8bt;Irrelevante;0;;;;01/08/2017 23:30
Trecho da pista expressa da Marginal Pinheiros será interditado, das 23h00 às 4h00, para mutirão de limpeza: https://t.co/L0zzxvoogk;Evento Urbano;3;;;;01/08/2017 22:00
@MizutaniLuciana   Boa noite! Sua solicitação foi cadastrada para providencias. A CET agradece o contato.;Irrelevante;0;;;;01/08/2017 20:58
Referente manifestação Vdto. Jacareó, pista liberada.#ZC;Irrelevante;0;;;;01/08/2017 20:34
Passagem Doutor Euryclides de Jesus Zerbini será interditada nos dois sentidos,  para serviços de limpeza https://t.co/48H0YOBHVr;Evento Urbano;3;;;;01/08/2017 20:00
@almeida_selene Boa noite! Sua informação foi cadastrada, agradecemos o contato.;Irrelevante;0;;;;01/08/2017 19:30
Complexo Viário Maria Maluf será interditado, de terça a quarta, sempre das 23h30 às 4h30, para manutenção https://t.co/cdzhQBITpp;Evento Social;2;;;;01/08/2017 19:00
@HelioLan Olá, por favor, solicite fiscalização de trânsito ligando gratuitamente para o fone 1188. Agradecemos o contato.;Irrelevante;0;;;;01/08/2017 18:27
@RcfcSa Olá, para solicitar manutenção de semáforos, por favor, ligue para o fone 1188 ou acesse o Portal #SP156: https://t.co/vSjZ6Uth14;Irrelevante;0;;;;01/08/2017 18:25
@FatimaNakagami Olá, p/ solicitar avaliação p/ adequação da circulação de veóculos, por favor, acesse Portal #SP156: https://t.co/84GzRN2WsO;Irrelevante;0;;;;01/08/2017 18:23
@Mauro_T Olá, para solicitar fiscalização de trânsito, por favor, ligue gratuitamente para o fone 1188. Agradecemos o contato.;Irrelevante;0;;;;01/08/2017 18:19
@calocci2 Olá, para informações sobre multas, por favor, acesse: https://t.co/YTdLRFhYA7. Agradecemos o contato.;Irrelevante;0;;;;01/08/2017 18:18
Rua Tuiuti liberada em relação a interferência. #ZL;Irrelevante;0;R. Tuiuti, São Paulo - SP, Brazil;-235.372.547;-465.754.858;01/08/2017 18:12
Viaduto do Chá,  ambos os sentidos liberado, em relação a manifestação. #ZC;Evento Social;2;Viaduto do Chá - Centro, São Paulo - SP, 01049-000, Brazil;-235.466.665;-466.377.639;01/08/2017 18:04
@aquijuz Olá, o Mapa da Infraestrutura Cicloviária da cidade de São Paulo funciona normalmente: https://t.co/qGZESXbsz1;Irrelevante;0;;;;01/08/2017 17:11
Manifestação interdita ambos os sentidos do Viaduto do Chá, entre a R. Xavier de Toledo e R. Lóbero Badaró. Evite a região. #ZC;Evento Social;2;;;;01/08/2017 16:13
@RicardoRoquetti Olá, caso tenha feito solicitações e não tenha sido atendido, entre em contato c/ Ouvidoria, utilizando o nå¼ de protocolo.;Irrelevante;0;;;;01/08/2017 16:02
Respeite sempre o pedestre, priorize-o. Pois ao sair do veóculo, te tornas um deles.  _Ù_¦_Ù_Ñ_Ù_¦_Ù_ª_Ù_¦_Ù_¥_ÙÕ¥ https://t.co/qnAPpt1OSP;Irrelevante;0;;;;01/08/2017 16:00
@AnnaMariaVET Olá, para solicitar manutenção semafórica, por favor, ligue para 1188 ou acesse o Portal #SP156: https://t.co/0kVk1pmqWK.;Irrelevante;0;;;;01/08/2017 15:45
@Felipeguzzi Olá, para solicitar fiscalização de trânsito, por favor, ligue gratuitamente para o fone 1188.;Irrelevante;0;;;;01/08/2017 15:22
@LiihR23 Olá, o telefone 1188 funciona normalmente. Se estiver ligando de fora da cidade de São Paulo, ligue para (11) 3258-7589.;Irrelevante;0;;;;01/08/2017 15:06
@IVANCRAMOS Olá, para solicitar manutenção de semáforos, por favor, ligue p/ o fone 1188 ou acesse o Portal #SP156: https://t.co/0kVk1pmqWK;Irrelevante;0;;;;01/08/2017 15:00
@janreis A expectativa é que os contratos sejam firmados nas próximas semanas. Agradecemos o contato.;Irrelevante;0;;;;01/08/2017 14:54
@janreis Olá, já foi dado prosseguimento à licitação para contratar novas empresas para manutenção de semáforos. (+);Irrelevante;0;;;;01/08/2017 14:53
